site_id	state
08072350	TEXAS
08072680	TEXAS
08073100	TEXAS
08074710	TEXAS
08074598	TEXAS
08074540	TEXAS
08072600	TEXAS
08075780	TEXAS
08072000	TEXAS
08072800	TEXAS
08171350	TEXAS
08178638	TEXAS
08174200	TEXAS
08170990	TEXAS
08178700	TEXAS
08170800	TEXAS
08170890	TEXAS
08178050	TEXAS
08174550	TEXAS
08178500	TEXAS
08170950	TEXAS
08177520	TEXAS
08178861	TEXAS
08174700	TEXAS
08178980	TEXAS
08176550	TEXAS
08171400	TEXAS
08178585	TEXAS
08174970	TEXAS
08178871	TEXAS
08170905	TEXAS
0817887350	TEXAS
08178593	TEXAS
08196300	TEXAS
08197936	TEXAS
08194840	TEXAS
08089000	TEXAS
08088000	TEXAS
08089200	TEXAS
08083480	TEXAS
08083230	TEXAS
08084200	TEXAS
08083280	TEXAS
08083430	TEXAS
08088610	TEXAS
08080505	TEXAS
08419000	TEXAS
08412500	TEXAS
08106050	TEXAS
08105883	TEXAS
08101330	TEXAS
08100630	TEXAS
08105886	TEXAS
08105897	TEXAS
08101200	TEXAS
08101310	TEXAS
08108250	TEXAS
08101300	TEXAS
08105505	TEXAS
08101340	TEXAS
08102595	TEXAS
08108700	TEXAS
08105872	TEXAS
08103940	TEXAS
08107950	TEXAS
0810464660	TEXAS
08104300	TEXAS
08104055	TEXAS
08108780	TEXAS
08105888	TEXAS
08437710	TEXAS
08458980	TEXAS
08458995	TEXAS
08456310	TEXAS
08458975	TEXAS
08180640	TEXAS
08181725	TEXAS
08188590	TEXAS
08180586	TEXAS
08187500	TEXAS
0818999010	TEXAS
08188060	TEXAS
08189998	TEXAS
08188810	TEXAS
08181435	TEXAS
08184050	TEXAS
08183978	TEXAS
08159110	TEXAS
08157540	TEXAS
08155500	TEXAS
08158813	TEXAS
08159200	TEXAS
08158000	TEXAS
08158920	TEXAS
08158922	TEXAS
08159500	TEXAS
08031010	TEXAS
08030530	TEXAS
08030730	TEXAS
08030540	TEXAS
08031050	TEXAS
08030800	TEXAS
08030520	TEXAS
08031020	TEXAS
08053430	TEXAS
08057300	TEXAS
08050350	TEXAS
08051135	TEXAS
08053090	TEXAS
08055560	TEXAS
08059590	TEXAS
08090905	TEXAS
08098450	TEXAS
08090550	TEXAS
08090800	TEXAS
08099382	TEXAS
08091000	TEXAS
08098300	TEXAS
08098290	TEXAS
08093100	TEXAS
08096500	TEXAS
08091250	TEXAS
08111500	TEXAS
08110200	TEXAS
08116650	TEXAS
08114000	TEXAS
08117705	TEXAS
08117995	TEXAS
08117370	TEXAS
08111850	TEXAS
08116850	TEXAS
08136700	TEXAS
08375300	TEXAS
08374550	TEXAS
08128030	TEXAS
08161000	TEXAS
08162501	TEXAS
08169780	TEXAS
08169845	TEXAS
08164370	TEXAS
08168770	TEXAS
08168000	TEXAS
08162500	TEXAS
08167200	TEXAS
08167900	TEXAS
08168913	TEXAS
08168932	TEXAS
08160400	TEXAS
08169500	TEXAS
08164350	TEXAS
08167870	TEXAS
08169740	TEXAS
08162000	TEXAS
08203450	TEXAS
08045550	TEXAS
08042558	TEXAS
08041300	TEXAS
08045995	TEXAS
08048800	TEXAS
08049300	TEXAS
08045850	TEXAS
0804956950	TEXAS
08020700	TEXAS
08022120	TEXAS
08029600	TEXAS
08025356	TEXAS
08022500	TEXAS
07308500	TEXAS
07227890	TEXAS
07228000	TEXAS
07343840	TEXAS
07342465	TEXAS
07342470	TEXAS
07344100	TEXAS
07343356	TEXAS
07336820	TEXAS
07332605	TEXAS
07332622	TEXAS
07332655	TEXAS
07331600	TEXAS
07332620	TEXAS
07312110	TEXAS
07312330	TEXAS
07312610	TEXAS
05014300	MONTANA
06082200	MONTANA
06080900	MONTANA
06090300	MONTANA
06090800	MONTANA
06181000	MONTANA
06183450	MONTANA
06185500	MONTANA
06185110	MONTANA
06048650	MONTANA
06040000	MONTANA
06115200	MONTANA
06111800	MONTANA
06110020	MONTANA
06154100	MONTANA
06155030	MONTANA
06155500	MONTANA
06151500	MONTANA
06109500	MONTANA
06108000	MONTANA
06294500	MONTANA
06293890	MONTANA
06295220	MONTANA
06295000	MONTANA
06125600	MONTANA
06287000	MONTANA
06287800	MONTANA
06286490	MONTANA
06288400	MONTANA
06078200	MONTANA
06074000	MONTANA
06164510	MONTANA
06169500	MONTANA
06329500	MONTANA
06327500	MONTANA
06140500	MONTANA
06174500	MONTANA
06172310	MONTANA
06175100	MONTANA
06177000	MONTANA
06175510	MONTANA
06178000	MONTANA
06063000	MONTANA
06211000	MONTANA
06211500	MONTANA
06135000	MONTANA
06133500	MONTANA
06130000	MONTANA
06309000	MONTANA
06307830	MONTANA
06023000	MONTANA
06027600	MONTANA
021556525	SOUTH_CAROLINA
021564493	SOUTH_CAROLINA
02156300	SOUTH_CAROLINA
02156370	SOUTH_CAROLINA
02169625	SOUTH_CAROLINA
02162287	SOUTH_CAROLINA
021652801	SOUTH_CAROLINA
02169672	SOUTH_CAROLINA
021623975	SOUTH_CAROLINA
02160991	SOUTH_CAROLINA
02162290	SOUTH_CAROLINA
02169750	SOUTH_CAROLINA
02169568	SOUTH_CAROLINA
02160325	SOUTH_CAROLINA
021650905	SOUTH_CAROLINA
02162035	SOUTH_CAROLINA
02168501	SOUTH_CAROLINA
02169506	SOUTH_CAROLINA
02169505	SOUTH_CAROLINA
021473426	SOUTH_CAROLINA
02145910	SOUTH_CAROLINA
02147505	SOUTH_CAROLINA
02147310	SOUTH_CAROLINA
021457492	SOUTH_CAROLINA
021459367	SOUTH_CAROLINA
021473428	SOUTH_CAROLINA
02147403	SOUTH_CAROLINA
021473415	SOUTH_CAROLINA
02198760	SOUTH_CAROLINA
02172002	SOUTH_CAROLINA
02171850	SOUTH_CAROLINA
02172020	SOUTH_CAROLINA
02171905	SOUTH_CAROLINA
02172053	SOUTH_CAROLINA
02110815	SOUTH_CAROLINA
02110802	SOUTH_CAROLINA
02110725	SOUTH_CAROLINA
02110400	SOUTH_CAROLINA
02110777	SOUTH_CAROLINA
02110525	SOUTH_CAROLINA
02110550	SOUTH_CAROLINA
02131510	SOUTH_CAROLINA
02134900	SOUTH_CAROLINA
02135100	SOUTH_CAROLINA
02130810	SOUTH_CAROLINA
02130000	SOUTH_CAROLINA
02132000	SOUTH_CAROLINA
01138500	VERMONT
01154000	VERMONT
01155910	VERMONT
01141500	VERMONT
04294000	VERMONT
04294140	VERMONT
04296280	VERMONT
04293500	VERMONT
04294300	VERMONT
04293000	VERMONT
04292750	VERMONT
04284751	VERMONT
04285800	VERMONT
04288295	VERMONT
03322485	OHIO
03262500	OHIO
03255390	OHIO
03255349	OHIO
03255300	OHIO
03255000	OHIO
03255420	OHIO
03201980	OHIO
03201902	OHIO
03247041	OHIO
03242350	OHIO
03246500	OHIO
03090500	OHIO
03094704	OHIO
03091500	OHIO
03131300	OHIO
03131982	OHIO
03131122	OHIO
03139850	OHIO
03117000	OHIO
03114280	OHIO
03115786	OHIO
03119979	OHIO
03119971	OHIO
03115917	OHIO
03118258	OHIO
03115644	OHIO
03114275	OHIO
03115712	OHIO
03110690	OHIO
03118209	OHIO
03114306	OHIO
03110685	OHIO
03116077	OHIO
03227107	OHIO
03221646	OHIO
03217500	OHIO
03216070	OHIO
03217200	OHIO
03140950	OHIO
03148000	OHIO
03144000	OHIO
03140900	OHIO
03146402	OHIO
03140853	OHIO
03146000	OHIO
03145173	OHIO
03144950	OHIO
03141700	OHIO
03145534	OHIO
03129197	OHIO
03120820	OHIO
03120500	OHIO
03124800	OHIO
03121500	OHIO
03126910	OHIO
03129000	OHIO
03120961	OHIO
03126395	OHIO
03127980	OHIO
03127989	OHIO
03125900	OHIO
03125338	OHIO
03120869	OHIO
03127986	OHIO
03150700	OHIO
03159246	OHIO
03158510	OHIO
03159540	OHIO
03150500	OHIO
03158200	OHIO
03230700	OHIO
03230310	OHIO
03238495	OHIO
03232300	OHIO
03271207	OHIO
03271620	OHIO
03272100	OHIO
03274615	OHIO
04161540	MICHIGAN
04168400	MICHIGAN
04164800	MICHIGAN
04044724	MICHIGAN
04032000	MICHIGAN
04057510	MICHIGAN
01115190	RHODE_ISLAND
01115110	RHODE_ISLAND
01115265	RHODE_ISLAND
01115276	RHODE_ISLAND
01115280	RHODE_ISLAND
01115297	RHODE_ISLAND
01118500	RHODE_ISLAND
01115170	RHODE_ISLAND
01115183	RHODE_ISLAND
01115114	RHODE_ISLAND
01021000	MAINE
01022840	MAINE
01027240	MAINE
01018500	MAINE
01010070	MAINE
01010500	MAINE
01018035	MAINE
01014000	MAINE
01010000	MAINE
01049505	MAINE
01049320	MAINE
01049330	MAINE
01063310	MAINE
01064118	MAINE
01030350	MAINE
01036390	MAINE
01037050	MAINE
01037000	MAINE
01055500	MAINE
06883530	NEBRASKA
06768020	NEBRASKA
06768025	NEBRASKA
06768035	NEBRASKA
06768000	NEBRASKA
06764880	NEBRASKA
06453620	NEBRASKA
06610750	NEBRASKA
06610785	NEBRASKA
06610732	NEBRASKA
06610720	NEBRASKA
06610793	NEBRASKA
06610788	NEBRASKA
06610765	NEBRASKA
06610000	NEBRASKA
06610770	NEBRASKA
06807000	NEBRASKA
06803430	NEBRASKA
06805500	NEBRASKA
06801000	NEBRASKA
06803420	NEBRASKA
06803502	NEBRASKA
06803300	NEBRASKA
06823000	NEBRASKA
06824000	NEBRASKA
06813500	NEBRASKA
06486000	NEBRASKA
06796000	NEBRASKA
06796500	NEBRASKA
06796550	NEBRASKA
06792500	NEBRASKA
06466470	NEBRASKA
06466010	NEBRASKA
06463720	NEBRASKA
06465700	NEBRASKA
06466000	NEBRASKA
06478523	NEBRASKA
06478522	NEBRASKA
06478526	NEBRASKA
06852500	NEBRASKA
06853020	NEBRASKA
06781900	NEBRASKA
06781600	NEBRASKA
06785500	NEBRASKA
06774000	NEBRASKA
06775900	NEBRASKA
06770200	NEBRASKA
06770500	NEBRASKA
06777495	NEBRASKA
06680500	NEBRASKA
05049995	SOUTH_DAKOTA
06453020	SOUTH_DAKOTA
06452320	SOUTH_DAKOTA
06438500	SOUTH_DAKOTA
06434505	SOUTH_DAKOTA
06441590	SOUTH_DAKOTA
06442600	SOUTH_DAKOTA
06440000	SOUTH_DAKOTA
06441595	SOUTH_DAKOTA
06442996	SOUTH_DAKOTA
06441592	SOUTH_DAKOTA
06442900	SOUTH_DAKOTA
06442130	SOUTH_DAKOTA
06481493	SOUTH_DAKOTA
06485910	SOUTH_DAKOTA
06481497	SOUTH_DAKOTA
06480650	SOUTH_DAKOTA
06483950	SOUTH_DAKOTA
06418800	SOUTH_DAKOTA
06412810	SOUTH_DAKOTA
06463900	SOUTH_DAKOTA
06466700	SOUTH_DAKOTA
06429997	SOUTH_DAKOTA
06424000	SOUTH_DAKOTA
06479498	SOUTH_DAKOTA
06478000	SOUTH_DAKOTA
06479452	SOUTH_DAKOTA
06471770	SOUTH_DAKOTA
06478513	SOUTH_DAKOTA
06479512	SOUTH_DAKOTA
06479449	SOUTH_DAKOTA
06479515	SOUTH_DAKOTA
06479520	SOUTH_DAKOTA
06478500	SOUTH_DAKOTA
06471065	SOUTH_DAKOTA
06471510	SOUTH_DAKOTA
06479490	SOUTH_DAKOTA
06354881	SOUTH_DAKOTA
06402430	SOUTH_DAKOTA
06408700	SOUTH_DAKOTA
03535200	TENNESSEE
03538830	TENNESSEE
03538970	TENNESSEE
03566535	TENNESSEE
03518500	TENNESSEE
03430250	TENNESSEE
